news_headline,news_article,news_category,full_text,clean_text
"Xiaomi Redmi K20 Pro launched in India, to go on sale on July 22","Xiaomi's flagship Redmi K20 Pro has been unveiled in India at a starting price of ₹27,999. It features an AMOLED display, a 3D curved glass back design, in-screen fingerprint sensor, the latest Snapdragon 855 chipset and comes with up to 8GB RAM and 256GB storage. Its first sale will be on July 22 on Mi.com, Mi Home and Flipkart.",technology,"Xiaomi Redmi K20 Pro launched in India, to go on sale on July 22. Xiaomi's flagship Redmi K20 Pro has been unveiled in India at a starting price of ₹27,999. It features an AMOLED display, a 3D curved glass back design, in-screen fingerprint sensor, the latest Snapdragon 855 chipset and comes with up to 8GB RAM and 256GB storage. Its first sale will be on July 22 on Mi.com, Mi Home and Flipkart.",xiaomi redmi k pro launch india go sale july xiaomis flagship redmi k pro unveil india start price feature amoled display curve glass back design screen fingerprint sensor late snapdragon chipset come gb ram gb storage first sale july mi com mi home flipkart
New TVS Ntorq 125 scooter features Bluetooth & smart connectivity,"The TVS Ntorq 125, India's first scooter comes with Bluetooth support and smart connectivity features. It takes you to places with Navigation Assist and keeps you connected all the time with Caller ID and SMS alerts. Featuring SmartXonnect technology and sporty design, TVS Ntorq 125's special edition will also feature a special 'Scooter of the Year' insignia on the front.
",technology,"New TVS Ntorq 125 scooter features Bluetooth & smart connectivity. The TVS Ntorq 125, India's first scooter comes with Bluetooth support and smart connectivity features. It takes you to places with Navigation Assist and keeps you connected all the time with Caller ID and SMS alerts. Featuring SmartXonnect technology and sporty design, TVS Ntorq 125's special edition will also feature a special 'Scooter of the Year' insignia on the front.
",new tvs ntorq scooter feature bluetooth smart connectivity tvs ntorq india first scooter come bluetooth support smart connectivity feature take place navigation assist keep connect time caller would sms alert feature smartxonnect technology sporty design tvs ntorq special edition also feature special scooter year insignia front
"Chrome, Firefox users' data leaked, for sale at ₹700: Researcher","Extensions on Chrome and Firefox internet browsers leaked millions of users' data, including medical, credit card and tax returns information, cyber-security researcher Sam Jadali revealed. The data was leaked to a fee-based company Nacho Analytics, which gives unlimited access to any websites' analytics data, Jadali said. The data was reportedly put on sale for as little as $10 (nearly ₹700).",technology,"Chrome, Firefox users' data leaked, for sale at ₹700: Researcher. Extensions on Chrome and Firefox internet browsers leaked millions of users' data, including medical, credit card and tax returns information, cyber-security researcher Sam Jadali revealed. The data was leaked to a fee-based company Nacho Analytics, which gives unlimited access to any websites' analytics data, Jadali said. The data was reportedly put on sale for as little as $10 (nearly ₹700).",chrome firefox user datum leak sale researcher extension chrome firefox internet browser leak million user datum include medical credit card tax return information cyber security researcher sam jadali reveal datum leak fee base company nacho analytic give unlimited access website analytic datum jadali say datum reportedly put sale little nearly
"Privacy concerns raised over photo app FaceApp, company responds","The Russian company behind the viral photo-editing app 'FaceApp', that lets users virtually look older, responded to the privacy concerns over the users' photos. ""Most images are deleted from our servers within 48 hours,"" FaceApp said. ""We might store an uploaded photo in the cloud...We want to make sure users don't upload the photo repeatedly for every edit,"" it added.",technology,"Privacy concerns raised over photo app FaceApp, company responds. The Russian company behind the viral photo-editing app 'FaceApp', that lets users virtually look older, responded to the privacy concerns over the users' photos. ""Most images are deleted from our servers within 48 hours,"" FaceApp said. ""We might store an uploaded photo in the cloud...We want to make sure users don't upload the photo repeatedly for every edit,"" it added.",privacy concern raise photo app faceapp company respond russian company behind viral photo edit app faceapp let user virtually look old respond privacy concern user photo image delete server within hour faceapp say may store uploaded photo cloud want make sure user not upload photo repeatedly every edit add
Bluetooth flaw exposes user locations; Android devices safe,"Boston University researchers have found a flaw in Bluetooth that could let hackers track user locations, using a third-party algorithm. The flaw was found to be present across platforms including Apple's iOS and Windows 10, with the exception of Android, researchers revealed. ""The algorithm does not require message decryption or breaking Bluetooth security in any way,"" researchers said.",technology,"Bluetooth flaw exposes user locations; Android devices safe. Boston University researchers have found a flaw in Bluetooth that could let hackers track user locations, using a third-party algorithm. The flaw was found to be present across platforms including Apple's iOS and Windows 10, with the exception of Android, researchers revealed. ""The algorithm does not require message decryption or breaking Bluetooth security in any way,"" researchers said.",bluetooth flaw expose user location android device safe boston university researcher find flaw bluetooth could let hacker track user location use third party algorithm flaw find present across platform include apple io window exception android researcher reveal algorithm not require message decryption break bluetooth security way researcher say
Twitter gets trolled after unveiling redesigned desktop site,"Micro-blogging platform Twitter was trolled on Twitter after it unveiled a redesigned layout for its website. The platform has added new dark mode options and shifted the top navigation bar to the left sidebar, which contains a new ‘explore’ tab. “Twitter will redesign the entire site and make it ugly, but won’t give us an edit button,” a user said.",technology,"Twitter gets trolled after unveiling redesigned desktop site. Micro-blogging platform Twitter was trolled on Twitter after it unveiled a redesigned layout for its website. The platform has added new dark mode options and shifted the top navigation bar to the left sidebar, which contains a new ‘explore’ tab. “Twitter will redesign the entire site and make it ugly, but won’t give us an edit button,” a user said.",twitter get troll unveiling redesign desktop site micro blogging platform twitter troll twitter unveil redesign layout website platform add new dark mode option shift top navigation bar left sidebar contain new explore tab twitter redesign entire site make ugly not give us edit button user say
Musk's Neuralink unveils 'threads' that link brains to computers,"Elon Musk has unveiled his new startup Neuralink's flexible ""threads"" designed to be inserted in brains to link them directly to computers. Musk said Neuralink, in the long term, is about finding a way to ""achieve a sort of symbiosis with artificial intelligence."" ""We hope to have this in a human patient by the end of next year,"" Musk added.",technology,"Musk's Neuralink unveils 'threads' that link brains to computers. Elon Musk has unveiled his new startup Neuralink's flexible ""threads"" designed to be inserted in brains to link them directly to computers. Musk said Neuralink, in the long term, is about finding a way to ""achieve a sort of symbiosis with artificial intelligence."" ""We hope to have this in a human patient by the end of next year,"" Musk added.",musk neuralink unveil thread link brain computer elon musk unveil new startup neuralink flexible thread design insert brain link directly computer musk say neuralink long term find way achieve sort symbiosis artificial intelligence hope human patient end next year musk add
Good: Elizabeth Warren on Peter Thiel saying she is 'dangerous',"US politician Elizabeth Warren shared an article on Twitter that revealed PayPal Co-founder Peter Thiel called her the most ""dangerous"" Democratic presidential candidate and responded saying, ""Good."" ""I think she's the one who's actually talking about the economy, which is the only thing...I think matters by far the most,"" Thiel said. ""All the others are almost equally unimpressive,"" he added.",technology,"Good: Elizabeth Warren on Peter Thiel saying she is 'dangerous'. US politician Elizabeth Warren shared an article on Twitter that revealed PayPal Co-founder Peter Thiel called her the most ""dangerous"" Democratic presidential candidate and responded saying, ""Good."" ""I think she's the one who's actually talking about the economy, which is the only thing...I think matters by far the most,"" Thiel said. ""All the others are almost equally unimpressive,"" he added.",good elizabeth warren peter thiel say dangerous us politician elizabeth warren share article twitter reveal paypal co founder peter thiel call dangerous democratic presidential candidate respond say good think one actually talk economy thing think matter far thiel say almost equally unimpressive add
"Microsoft posts record Q4 results, shares hit all-time high","Microsoft posted its Q4 FY19 earnings report revealing it made $33.7 billion in the quarter, 12% higher than the same quarter last year. The technology giant delivered a ""record fiscal year"" with a revenue of $125.8 billion, representing a 14% increase from the year before. Microsoft shares rose over 2.6% to record-high of above $140 in after-hours trading on Thursday.",technology,"Microsoft posts record Q4 results, shares hit all-time high. Microsoft posted its Q4 FY19 earnings report revealing it made $33.7 billion in the quarter, 12% higher than the same quarter last year. The technology giant delivered a ""record fiscal year"" with a revenue of $125.8 billion, representing a 14% increase from the year before. Microsoft shares rose over 2.6% to record-high of above $140 in after-hours trading on Thursday.",microsoft post record q result share hit time high microsoft post q fy earning report reveal make billion quarter high quarter last year technology giant deliver record fiscal year revenue billion represent increase year microsoft share rise record high hour trading thursday
Google may be fined ₹136cr for abuse of Android dominance in India,"India antitrust watchdog Competition Commission of India (CCI) is reportedly planning to impose a fine of more than ₹136 crore on Google over allegations of abuse of Android's market dominance. Google's restrictions on device manufacturers appeared to amount to 'unfair conditions' under Indian competition law, the CCI had found. The watchdog had reportedly started its probe on Google in April.",technology,"Google may be fined ₹136cr for abuse of Android dominance in India. India antitrust watchdog Competition Commission of India (CCI) is reportedly planning to impose a fine of more than ₹136 crore on Google over allegations of abuse of Android's market dominance. Google's restrictions on device manufacturers appeared to amount to 'unfair conditions' under Indian competition law, the CCI had found. The watchdog had reportedly started its probe on Google in April.",google may fine cr abuse android dominance india india antitrust watchdog competition commission india cci reportedly plan impose fine crore google allegation abuse android market dominance google restriction device manufacturer appear amount unfair condition indian competition law cci find watchdog reportedly start probe google april
